datetime,open,high,low,close,bearish_engulfing
2015-11-24,1.4776,1.4839,1.4651,1.4665,0
2015-11-23,1.4707,1.4831,1.4679,1.4784,0
2015-11-20,1.4912,1.4949,1.4689,1.4704,0
2015-11-19,1.4984,1.501,1.4865,1.492,0
2015-11-18,1.496,1.5043,1.4946,1.4991,0
2015-11-17,1.5054,1.5093,1.492,1.4968,0
2015-11-16,1.5074,1.5164,1.5019999999999998,1.5059,0
2015-11-13,1.5173,1.5184,1.5018,1.5115,0
2015-11-12,1.5206,1.5238,1.4977,1.5179,0
2015-11-11,1.5245,1.5265,1.5161,1.5217,0
2015-11-10,1.5245,1.5276,1.5166,1.5252,0
2015-11-09,1.5222,1.5305,1.5199,1.5254,0
2015-11-06,1.5225,1.5296,1.5092,1.5238,0
2015-11-05,1.5191,1.5271,1.5155,1.5236,0
2015-11-04,1.5256,1.5277,1.5138,1.52,0
2015-11-03,1.5405,1.5427,1.5203,1.5261,0
2015-11-02,1.5448,1.5531,1.5386,1.5418,0
2015-10-30,1.551,1.5581,1.5388,1.5415,0
2015-10-29,1.535,1.5537,1.5328,1.5524,0
2015-10-28,1.5355,1.5553,1.5311,1.5347,0
2015-10-27,1.5244,1.5385,1.5206,1.5362,0
2015-10-26,1.5239,1.5278,1.5156,1.5252,0
2015-10-23,1.5403,1.5428,1.5179,1.527,0
2015-10-22,1.5714,1.5797,1.5375,1.541,1
2015-10-21,1.5618,1.5778,1.5603,1.5724,0
2015-10-20,1.5613,1.5667,1.5533,1.5629,0
2015-10-19,1.5621,1.5709,1.5491,1.5618,0
2015-10-16,1.5519,1.5682,1.5485,1.5626,0
2015-10-15,1.5708,1.5729,1.5479,1.5533,1
2015-10-14,1.57,1.5827,1.5661,1.5717,0
2015-10-13,1.5422,1.5717,1.5407,1.5712,0
2015-10-12,1.5467,1.5559,1.5388,1.5425,0
2015-10-09,1.5528,1.5581,1.5443,1.5484,0
2015-10-08,1.5578,1.5766,1.5496,1.5536,0
2015-10-07,1.5722,1.5767,1.5507,1.5589,0
2015-10-06,1.579,1.5842,1.5659,1.5730000000000002,0
2015-10-05,1.5905,1.5938,1.5731,1.5791,0
2015-10-02,1.5919,1.6149,1.5773,1.5905,0
2015-10-01,1.5914,1.5972,1.5730000000000002,1.5928,0
2015-09-30,1.6087,1.6114,1.5861,1.5923,0
2015-09-29,1.6078,1.6263,1.5972,1.6102,0
2015-09-28,1.5928,1.6096,1.5859,1.6089,0
2015-09-25,1.5977,1.6066,1.5822,1.5939,1
2015-09-24,1.5967,1.6194,1.5893,1.5986,0
2015-09-23,1.5671,1.6032,1.5667,1.5973,0
2015-09-22,1.5678,1.579,1.5590000000000002,1.5683,0
2015-09-21,1.5731,1.582,1.5659,1.5692,0
2015-09-18,1.5928,1.5955,1.5652,1.5726,0
2015-09-17,1.5684,1.5973,1.5655,1.5941,0
2015-09-16,1.5768,1.5836,1.5652,1.5685,0
